CONTRATO	PLAN	FECHA ACTIVACION	FECHA BAJA
713621944	ATT CONSIGUELO BASICO 2	14/02/19	07/06/19
710288216	ATT CONSIGUELO BASICO 1.5	02/01/19	29/06/19
710289021	ATT CONSIGUELO BASICO 1.5	02/01/19	29/06/19
713191364	ATT CONSIGUELO BASICO 1.5	07/02/19	19/06/19
713453013	ATT CONSIGUELO BASICO 2	11/02/19	15/06/19
713645107	ATT CONSIGUELO BASICO 1	15/02/19	11/06/19
715579739	ATT CONSIGUELO 5	27/03/19	27/06/19
714610167	ATT CONSIGUELO 1.5	07/03/19	25/06/19
716003518	ATT CONSIGUELO 2	15/04/19	08/06/19
716353036	ATT CONSIGUELO 1	02/05/19	10/06/19
716703605	ATT CONSIGUELO 2	10/05/19	18/06/19
709997070	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTO E5	30/12/18	06/06/19
710139789	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	01/01/19	30/06/19
710140002	ATT CONSIGUELO BASICO 1	01/01/19	30/06/19
711850509	ATT CONSIGUELO BASICO 1.5	16/01/19	29/06/19
713195778	ATT CONSIGUELO COMPLETO 5	07/02/19	28/06/19
713201794	ATT CONSIGUELO COMPLETO 6.5	07/02/19	28/06/19
713202773	ATT CONSIGUELO BASICO 3	07/02/19	28/06/19
713242387	ATT CONSIGUELO BASICO 1	08/02/19	29/06/19
714772952	ATT CONSIGUELO 2	10/03/19	03/06/19
710853130	ATT CONSIGUELO BASICO 1	07/01/19	29/06/19
710961886	ATT CONSIGUELO BASICO 1	08/01/19	28/06/19
712880211	ATT CONSIGUELO COMPLETO 10	31/01/19	02/06/19
712880943	ATT CONSIGUELO BASICO 1	31/01/19	21/06/19
712902867	ATT CONSIGUELO COMPLETO 6.5	01/02/19	21/06/19
712906282	ATT CONSIGUELO COMPLETO 6.5	01/02/19	22/06/19
712957258	ATT CONSIGUELO COMPLETO 5	02/02/19	22/06/19
712985637	ATT CONSIGUELO COMPLETO 6.5	04/02/19	22/06/19
712986163	ATT CONSIGUELO COMPLETO 6.5	04/02/19	22/06/19
713121495	ATT CONSIGUELO BASICO 2	05/02/19	24/06/19
713228920	ATT CONSIGUELO BASICO 2	08/02/19	28/06/19
713228987	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA MOTO G6 PLUS	08/02/19	28/06/19
713231739	ATT CONSIGUELO BASICO 2	08/02/19	28/06/19
713361938	ATT CONSIGUELO BASICO 2	09/02/19	29/06/19
713524725	ATT CONSIGUELO BASICO 2	12/02/19	29/06/19
713527374	ATT CONSIGUELO COMPLETO 10	12/02/19	29/06/19
713527449	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	12/02/19	29/06/19
708614962	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTO E5	13/12/18	07/06/19
710423356	ATT CONSIGUELO BASICO 1.5	03/01/19	04/06/19
712890969	ATT CONSIGUELO COMPLETO 5	31/01/19	21/06/19
712902983	ATT CONSIGUELO COMPLETO 5	01/02/19	21/06/19
712903803	ATT CONSIGUELO COMPLETO 5	01/02/19	21/06/19
712981980	ATT CONSIGUELO COMPLETO 5	04/02/19	22/06/19
713182009	ATT CONSIGUELO COMPLETO 5	06/02/19	25/06/19
713204977	ATT CONSIGUELO BASICO 2	07/02/19	28/06/19
713440339	ATT CONSIGUELO BASICO 1	11/02/19	06/06/19
714131605	ATT CONSIGUELO 1	27/02/19	18/06/19
1118984	ATT PLUS ATMV1 239	15/12/18	01/06/19
710132211	ATT CONSIGUELO BASICO 2	31/12/18	24/06/19
710132239	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTO E5	31/12/18	24/06/19
710140859	ATT CONSIGUELO BASICO 2	01/01/19	24/06/19
710523856	ATT CONSIGUELO BASICO 1.5	04/01/19	22/06/19
710639981	ATT CONSIGUELO BASICO 2	05/01/19	24/06/19
710731016	ATT CONSIGUELO BASICO 1	06/01/19	24/06/19
711616714	ATT CONSIGUELO BASICO 2	14/01/19	28/06/19
711922858	ATT CONSIGUELO BASICO 1	17/01/19	03/06/19
712261372	ATT CONSIGUELO BASICO 2	22/01/19	29/06/19
712894022	ATT CONSIGUELO BASICO 1	31/01/19	21/06/19
712970982	ATT CONSIGUELO BASICO 3	03/02/19	22/06/19
712972095	ATT CONSIGUELO BASICO 2	03/02/19	22/06/19
712986062	ATT CONSIGUELO BASICO 2	04/02/19	22/06/19
712985227	ATT CONSIGUELO BASICO 3	04/02/19	22/06/19
713432178	ATT CONSIGUELO COMPLETO 5	10/02/19	29/06/19
713453616	ATT CONSIGUELO BASICO 2	11/02/19	11/06/19
714605576	ATT CONSIGUELO 1	07/03/19	06/06/19
714179953	ATT CONSIGUELO 2	01/03/19	01/06/19
712399115	ATT CONSIGUELO BASICO 2	24/01/19	04/06/19
715651843	ATT CONSIGUELO 2	01/04/19	04/06/19
716790433	ATT CONSIGUELO 5	15/05/19	25/06/19
710858288	ATT CONSIGUELO BASICO 1	07/01/19	10/06/19
716845964	ATT CONSIGUELO 2	17/05/19	26/06/19
710641671	ATT CONSIGUELO BASICO 1	05/01/19	14/06/19
716725769	ATT CONSIGUELO 1	11/05/19	07/06/19
716846893	ATT CONSIGUELO 5	17/05/19	11/06/19
716331361	ATT CONSIGUELO 1	30/04/19	13/06/19
716345017	ATT CONSIGUELO 1.5	01/05/19	19/06/19
717330291	ATT CONSIGUELO 1.5	24/05/19	17/06/19
708839058	ATT CONSIGUELO BASICO 3	16/12/18	13/06/19
710410010	ATT CONSIGUELO BASICO 1	03/01/19	26/06/19
710524204	ATT CONSIGUELO BASICO 1	04/01/19	22/06/19
710631090	ATT CONSIGUELO BASICO 1	05/01/19	22/06/19
710858527	ATT CONSIGUELO BASICO 1	07/01/19	07/06/19
710961847	ATT CONSIGUELO COMPLETO 5	08/01/19	28/06/19
714517106	ATT CONSIGUELO 1.5	05/03/19	25/06/19
711094013	ATT CONSIGUELO COMPLETO 5	09/01/19	29/06/19
713363449	ATT CONSIGUELO BASICO 2	09/02/19	29/06/19
713451341	ATT CONSIGUELO BASICO 1	11/02/19	29/06/19
713752648	ATT CONSIGUELO BASICO 1	17/02/19	05/06/19
714092476	ATT CONSIGUELO BASICO 1	24/02/19	30/06/19
716123876	ATT CONSIGUELO 1	22/04/19	01/06/19
717667833	ATT CONSIGUELO 1	29/05/19	26/06/19
717667834	COMPARTELO ADICIONAL VOZ, SMS, DATOS	29/05/19	19/06/19
715643972	ATT CONSIGUELO 5	31/03/19	25/06/19
715868664	ATT CONSIGUELO 1	07/04/19	07/06/19
715919565	ATT CONSIGUELO 3	09/04/19	15/06/19
710726257	ATT CONSIGUELO BASICO 1	06/01/19	07/06/19
711096797	ATT CONSIGUELO BASICO 1	09/01/19	29/06/19
712909552	ATT CONSIGUELO BASICO 2	01/02/19	12/06/19
713119324	ATT CONSIGUELO BASICO 2	05/02/19	24/06/19
713231141	ATT CONSIGUELO BASICO 2	08/02/19	28/06/19
713231165	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA MOTO G6 PLUS	08/02/19	29/06/19
713233325	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA MOTO G6 PLUS	08/02/19	28/06/19
713233337	ATT CONSIGUELO BASICO 2	08/02/19	28/06/19
711856216	ATT INTERNET EN CASA BASICO V2	16/01/19	28/06/19
712104114	ATT CONSIGUELO BASICO 3	19/01/19	29/06/19
712954588	ATT CONSIGUELO BASICO 3	02/02/19	22/06/19
713610784	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA MOTO G6 PLUS	14/02/19	28/06/19
714155841	ATT CONSIGUELO 2	28/02/19	21/06/19
714771459	ATT CONSIGUELO 3	10/03/19	12/06/19
714859308	ATT CONSIGUELO 1	12/03/19	11/06/19
715946331	COMPARTELO ADICIONAL VOZ, SMS, DATOS	11/04/19	27/06/19
716795204	ATT CONSIGUELO 1	15/05/19	22/06/19
709233842	ATT CONSIGUELO BASICO 2	24/12/18	19/06/19
710416276	ATT CONSIGUELO BASICO 2	03/01/19	21/06/19
710733670	ATT CONSIGUELO BASICO 1	06/01/19	22/06/19
711618357	ATT CONSIGUELO BASICO 1	14/01/19	28/06/19
712727134	ATT CONSIGUELO BASICO 1	29/01/19	14/06/19
712988168	ATT CONSIGUELO BASICO 1	04/02/19	22/06/19
713436466	ATT CONSIGUELO BASICO 2	10/02/19	18/06/19
713428926	ATT CONSIGUELO BASICO 2	10/02/19	29/06/19
715868779	ATT CONSIGUELO 1.5	07/04/19	01/06/19
716856002	ATT CONSIGUELO 1	17/05/19	07/06/19
710409866	ATT CONSIGUELO BASICO 1	03/01/19	25/06/19
716355233	ATT CONSIGUELO 2	02/05/19	18/06/19
717684498	ATT CONSIGUELO 3	30/05/19	29/06/19
708762570	ATT CONSIGUELO BASICO 2	15/12/18	03/06/19
711327350	ATT CONSIGUELO BASICO 1	12/01/19	08/06/19
710140124	ATT CONSIGUELO BASICO 1	01/01/19	15/06/19
712281278	ATT CONSIGUELO BASICO 1	23/01/19	21/06/19
713182960	ATT CONSIGUELO BASICO 2	06/02/19	25/06/19
714133924	ATT CONSIGUELO 2	27/02/19	28/06/19
714133945	ATT CONSIGUELO 2	27/02/19	26/06/19
713514005	ATT CONSIGUELO BASICO 1	12/02/19	20/06/19
716172453	ATT CONSIGUELO 3	24/04/19	21/06/19
710737091	ATT CONSIGUELO BASICO 1	06/01/19	29/06/19
712603787	ATT CONSIGUELO BASICO 3	28/01/19	12/06/19
714085917	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	24/02/19	18/06/19
715290337	ATT CONSIGUELO 1.5	20/03/19	11/06/19
716083625	ATT CONSIGUELO 2	19/04/19	13/06/19
716334642	ATT CONSIGUELO 1.5	30/04/19	27/06/19
713243094	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	08/02/19	29/06/19
713436108	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	10/02/19	29/06/19
713436160	ATT CONSIGUELO COMPLETO 5	10/02/19	29/06/19
716508540	ATT CONSIGUELO 2	04/05/19	25/06/19
716510250	ATT CONSIGUELO 2	04/05/19	25/06/19
713366151	ATT CONSIGUELO BASICO 3	09/02/19	29/06/19
711251648	ATT CONSIGUELO COMPLETO 5	11/01/19	29/06/19
708989946	ATT CONSIGUELO BASICO 2	19/12/18	15/06/19
4554222	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	24/02/19	27/06/19
716171743	ATT CONSIGUELO 1	24/04/19	13/06/19
716171929	COMPARTELO ADICIONAL VOZ, SMS, DATOS	24/04/19	13/06/19
710123469	ATT CONSIGUELO BASICO 1	31/12/18	24/06/19
716221089	ATT CONSIGUELO 1.5	27/04/19	26/06/19
713227895	ATT CONSIGUELO BASICO 3	08/02/19	28/06/19
711192867	ATT CONSIGUELO BASICO 3	10/01/19	29/06/19
711760834	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	15/01/19	22/06/19
711854557	ATT CONSIGUELO COMPLETO 6.5	16/01/19	29/06/19
712724377	ATT CONSIGUELO BASICO 1	29/01/19	19/06/19
712963721	ATT CONSIGUELO COMPLETO 5	02/02/19	22/06/19
715632808	ATT CONSIGUELO 2	30/03/19	01/06/19
716331630	ATT CONSIGUELO 1	30/04/19	25/06/19
714780425	ATT CONSIGUELO 5	11/03/19	03/06/19
712964713	ATT CONSIGUELO BASICO 2	03/02/19	21/06/19
713214012	ATT CONSIGUELO COMPLETO 5	07/02/19	28/06/19
708484383	ATT CONSIGUELO BASICO 1	12/12/18	06/06/19
709073479	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO HUAWEI MATE 20/P20LITE	22/12/18	01/06/19
712477275	ATT CONSIGUELO COMPLETO 5	27/01/19	29/06/19
712968811	ATT CONSIGUELO COMPLETO 5	03/02/19	22/06/19
715947275	ATT CONSIGUELO 3	11/04/19	22/06/19
715940445	ATT CONSIGUELO 3	11/04/19	20/06/19
711534956	ATT CONSIGUELO BASICO 3	13/01/19	29/06/19
711764578	ATT CONSIGUELO COMPLETO 8	15/01/19	29/06/19
712902222	ATT CONSIGUELO BASICO 1	01/02/19	21/06/19
712960410	ATT CONSIGUELO COMPLETO 6.5	02/02/19	06/06/19
712989742	ATT CONSIGUELO COMPLETO 6.5	04/02/19	22/06/19
712981263	ATT CONSIGUELO COMPLETO 13	04/02/19	22/06/19
710629345	ATT CONSIGUELO BASICO 2	05/01/19	24/06/19
711248401	ATT CONSIGUELO BASICO 2	11/01/19	26/06/19
710134656	ATT CONSIGUELO BASICO 1	31/12/18	25/06/19
713961279	ATT V2 CT DAMOSMAS 449	20/02/19	26/06/19
715490293	ATT CONSIGUELO 2	25/03/19	29/06/19
712125994	ATT CONSIGUELO BASICO 3	19/01/19	09/06/19
716635880	ATT CONSIGUELO 1	06/05/19	28/06/19
708723838	ATT CONSIGUELO COMPLETO 5	14/12/18	12/06/19
709910504	ATT CONSIGUELO COMPLETO 5	29/12/18	07/06/19
708917552	ATT CONSIGUELO BASICO 3	18/12/18	07/06/19
714771053	ATT CONSIGUELO 1	10/03/19	04/06/19
712885349	ATT CONSIGUELO BASICO 2	31/01/19	21/06/19
714724722	ATT CONSIGUELO 2	09/03/19	22/06/19
717648623	ATT CONSIGUELO 3	28/05/19	11/06/19
716173115	ATT CONSIGUELO 2	24/04/19	27/06/19
716330668	ATT CONSIGUELO 1	30/04/19	23/06/19
716805810	ATT CONSIGUELO 1	16/05/19	21/06/19
717113095	ATT CONSIGUELO 1.5	21/05/19	15/06/19
708723850	ATT CONSIGUELO BASICO 2	14/12/18	12/06/19
709071300	ATT CONSIGUELO BASICO 1	22/12/18	10/06/19
709909876	ATT CONSIGUELO BASICO 2	29/12/18	26/06/19
710650856	ATT CONSIGUELO BASICO 1	05/01/19	29/06/19
710724333	ATT CONSIGUELO BASICO 3	06/01/19	25/06/19
711244668	ATT CONSIGUELO BASICO 2	11/01/19	29/06/19
711248409	ATT CONSIGUELO BASICO 3	11/01/19	29/06/19
714090563	ATT CONSIGUELO BASICO 1	24/02/19	10/06/19
716360943	ATT CONSIGUELO 1	02/05/19	28/06/19
713362225	ATT CONSIGUELO COMPLETO 5	09/02/19	29/06/19
713905925	ATT CONSIGUELO BASICO 1	19/02/19	18/06/19
709073129	ATT CONSIGUELO BASICO 3	22/12/18	10/06/19
712986245	ATT CONSIGUELO BASICO 2	04/02/19	22/06/19
710648268	ATT CONSIGUELO BASICO 1	05/01/19	25/06/19
711529890	ATT CONSIGUELO BASICO 1	13/01/19	29/06/19
708995507	ATT CONSIGUELO BASICO 2	19/12/18	05/06/19
711088115	ATT CONSIGUELO BASICO 2	09/01/19	20/06/19
716294202	ATT CONSIGUELO 1	28/04/19	15/06/19
717133039	ATT CONSIGUELO 1	22/05/19	03/06/19
709230663	ATT CONSIGUELO BASICO 2	24/12/18	15/06/19
710008298	ATT CONSIGUELO BASICO 2	30/12/18	18/06/19
711533655	ATT CONSIGUELO BASICO 1	13/01/19	17/06/19
712408082	ATT CONSIGUELO BASICO 2	24/01/19	10/06/19
712986142	ATT CONSIGUELO BASICO 2	04/02/19	27/06/19
713363357	ATT CONSIGUELO BASICO 3	09/02/19	28/06/19
715279233	ATT CONSIGUELO 2	20/03/19	17/06/19
715408763	ATT CONSIGUELO 1	22/03/19	24/06/19
715493056	ATT CONSIGUELO 1.5	25/03/19	21/06/19
715871299	ATT CONSIGUELO 1	07/04/19	17/06/19
716797342	ATT CONSIGUELO 1	15/05/19	03/06/19
710296971	ATT CONSIGUELO BASICO 1	02/01/19	13/06/19
710422431	ATT CONSIGUELO BASICO 1	03/01/19	25/06/19
712882178	ATT CONSIGUELO BASICO 3	31/01/19	21/06/19
713599502	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA MOTO G6 PLUS	13/02/19	29/06/19
715694737	ATT V2 CT DAMOSMAS 349	04/04/19	13/06/19
708340391	ATT CONSIGUELO BASICO 1	11/12/18	05/06/19
713450935	ATT CONSIGUELO BASICO 2	11/02/19	21/06/19
716811153	ATT CONSIGUELO 1	16/05/19	03/06/19
713199040	ATT CONSIGUELO BASICO 3	07/02/19	28/06/19
715156889	ATT CONSIGUELO 1	19/03/19	28/06/19
715416306	ATT CONSIGUELO 3	23/03/19	01/06/19
709011887	ATT CONSIGUELO BASICO 2	20/12/18	07/06/19
710517440	ATT CONSIGUELO BASICO 3	04/01/19	06/06/19
712479328	ATT CONSIGUELO BASICO 1	27/01/19	22/06/19
712987286	ATT CONSIGUELO BASICO 2	04/02/19	22/06/19
716343932	ATT CONSIGUELO 1	01/05/19	14/06/19
710632060	ATT CONSIGUELO BASICO 1	05/01/19	22/06/19
710134963	ATT CONSIGUELO BASICO 1.5	31/12/18	26/06/19
712981467	ATT CONSIGUELO BASICO 1	04/02/19	07/06/19
716711698	COMPARTELO ADICIONAL VOZ, SMS, DATOS BOGO 2X1.5 HUAWEI P30, P30 PRO	11/05/19	13/06/19
713434890	ATT CONSIGUELO BASICO 2	10/02/19	28/06/19
715316070	ATT CONSIGUELO 1.5	21/03/19	06/06/19
715672334	ATT CONSIGUELO 1.5	02/04/19	07/06/19
715693623	ATT CONSIGUELO 2	04/04/19	19/06/19
716327959	ATT CONSIGUELO 8	30/04/19	22/06/19
716700593	ATT CONSIGUELO 2	10/05/19	10/06/19
709138834	ATT CONSIGUELO BASICO 1	23/12/18	15/06/19
715971426	ATT CONSIGUELO 1.5	13/04/19	19/06/19
716348363	ATT CONSIGUELO 2	01/05/19	27/06/19
709768808	ATT CONSIGUELO BASICO 3	28/12/18	24/06/19
710139993	ATT CONSIGUELO BASICO 1	01/01/19	24/06/19
713658835	ATT CONSIGUELO BASICO 2	16/02/19	12/06/19
713902575	ATT CONSIGUELO BASICO 1	19/02/19	07/06/19
713189229	ATT CONSIGUELO BASICO 2	07/02/19	24/06/19
716348755	ATT CONSIGUELO 2	01/05/19	05/06/19
715478607	ATT CONSIGUELO 1	24/03/19	12/06/19
717388583	ATT CONSIGUELO 1	25/05/19	29/06/19
710297367	ATT CONSIGUELO COMPLETO 5	02/01/19	25/06/19
712914497	ATT CONSIGUELO BASICO 1	01/02/19	22/06/19
710132891	ATT CONSIGUELO BASICO 2	31/12/18	29/06/19
713899549	ATT CONSIGUELO COMPLETO 5	19/02/19	10/06/19
714162179	ATT CONSIGUELO 1	28/02/19	25/06/19
715671256	ATT CONSIGUELO 3	02/04/19	05/06/19
716793638	ATT CONSIGUELO 1	15/05/19	01/06/19
717676200	ATT CONSIGUELO 1	30/05/19	07/06/19
715877612	ATT CONSIGUELO 1	08/04/19	08/06/19
710637761	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	05/01/19	12/06/19
712890784	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO HUAWEI DURA Y5	31/01/19	29/06/19
712890908	ATT CONSIGUELO BASICO 2	31/01/19	29/06/19
710851196	ATT CONSIGUELO COMPLETO 5	07/01/19	22/06/19
711198673	ATT CONSIGUELO COMPLETO 5	10/01/19	25/06/19
711525071	ATT CONSIGUELO COMPLETO 5	13/01/19	25/06/19
709058209	ATT CONSIGUELO BASICO 2	22/12/18	13/06/19
709785640	ATT CONSIGUELO BASICO 1	28/12/18	13/06/19
712893779	ATT CONSIGUELO BASICO 1	31/01/19	21/06/19
716319209	ATT CONSIGUELO 3	29/04/19	05/06/19
716707802	ATT CONSIGUELO 1	10/05/19	10/06/19
711196953	ATT CONSIGUELO BASICO 1	10/01/19	30/06/19
711179071	ATT CONSIGUELO BASICO 1.5	10/01/19	28/06/19
712878164	ATT CONSIGUELO BASICO 2	31/01/19	21/06/19
713179458	ATT CONSIGUELO BASICO 2	06/02/19	25/06/19
4564503	ATT CONSIGUELO COMPLETO 5	25/12/18	19/06/19
710947802	ATT CONSIGUELO BASICO 1	08/01/19	10/06/19
711333918	ATT CONSIGUELO COMPLETO 8	12/01/19	29/06/19
711191198	ATT CONSIGUELO BASICO 1	10/01/19	14/06/19
712467836	ATT CONSIGUELO BASICO 1.5	26/01/19	20/06/19
713445500	ATT V2 CT DAMOSMAS 549	11/02/19	12/06/19
713446978	ATT CONSIGUELO COMPLETO 5	11/02/19	04/06/19
713454281	ATT CONSIGUELO BASICO 1.5	11/02/19	29/06/19
714083022	ATT CONSIGUELO BASICO 2	24/02/19	01/06/19
714724773	ATT CONSIGUELO 1	09/03/19	18/06/19
710290389	ATT CONSIGUELO BASICO 3	02/01/19	22/06/19
711760516	ATT CONSIGUELO BASICO 3	15/01/19	01/06/19
712972952	ATT CONSIGUELO BASICO 2	03/02/19	22/06/19
713241144	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA MOTO G6 PLUS	08/02/19	29/06/19
713241194	ATT CONSIGUELO BASICO 2	08/02/19	29/06/19
713759921	ATT CONSIGUELO BASICO 3	17/02/19	26/06/19
715866466	ATT CONSIGUELO 1	07/04/19	06/06/19
717330221	ATT CONSIGUELO 3	24/05/19	21/06/19
709785859	ATT CONSIGUELO BASICO 2	28/12/18	01/06/19
710860083	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	07/01/19	26/06/19
712245230	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	21/01/19	26/06/19
709580968	ATT CONSIGUELO BASICO 2	27/12/18	03/06/19
716075350	ATT CONSIGUELO 1	18/04/19	03/06/19
716812335	ATT CONSIGUELO 1	16/05/19	20/06/19
716312082	ATT CONSIGUELO 2	29/04/19	17/06/19
709022124	ATT CONSIGUELO BASICO 2	20/12/18	08/06/19
711850989	ATT CONSIGUELO BASICO 1	16/01/19	22/06/19
713997731	ATT CONSIGUELO BASICO 1	22/02/19	10/06/19
715968734	COMPARTELO ADICIONAL VOZ, SMS, DATOS BOGO HUAWEI Y7	13/04/19	25/06/19
717100198	ATT CONSIGUELO 1	20/05/19	29/06/19
710327868	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO SAMSUNG J6 PLUS	02/01/19	25/06/19
710331127	ATT CONSIGUELO BASICO 2	02/01/19	25/06/19
710526020	ATT CONSIGUELO BASICO 2	04/01/19	07/06/19
715014494	ATT CONSIGUELO 1	17/03/19	07/06/19
714435379	ATT CONSIGUELO 1.5	04/03/19	19/06/19
709784724	ATT CONSIGUELO BASICO 2	28/12/18	23/06/19
710136406	ATT CONSIGUELO BASICO 1	31/12/18	24/06/19
712104155	ATT CONSIGUELO BASICO 1	19/01/19	08/06/19
716306917	ATT CONSIGUELO 1	29/04/19	25/06/19
711333735	ATT CONSIGUELO BASICO 3	12/01/19	23/06/19
712395516	ATT CONSIGUELO BASICO 2	24/01/19	12/06/19
712902368	ATT CONSIGUELO BASICO 3	01/02/19	21/06/19
713426878	ATT CONSIGUELO BASICO 1	10/02/19	25/06/19
715694932	COMPARTELO ADICIONAL VOZ, SMS, DATOS BOGO HUAWEI Y7	04/04/19	12/06/19
716226009	ATT CONSIGUELO 2	27/04/19	21/06/19
712031707	ATT CONSIGUELO BASICO 3	18/01/19	03/06/19
713120433	ATT CONSIGUELO BASICO 2	05/02/19	24/06/19
713124896	ATT CONSIGUELO BASICO 1.5	05/02/19	24/06/19
714098310	ATT CONSIGUELO 1.5	25/02/19	18/06/19
715971360	ATT CONSIGUELO 2	13/04/19	28/06/19
717107222	ATT CONSIGUELO 1	20/05/19	22/06/19
711531171	ATT INTERNET EN CASA COMPLETO V2	13/01/19	28/06/19
712958891	ATT CONSIGUELO BASICO 1	02/02/19	22/06/19
713836869	ATT CONSIGUELO BASICO 2	18/02/19	19/06/19
717682554	ATT CONSIGUELO 1	30/05/19	19/06/19
711766447	ATT INTERNET EN CASA COMPLETO V2	15/01/19	20/06/19
713180864	ATT CONSIGUELO BASICO 2	06/02/19	24/06/19
715308447	ATT CONSIGUELO 2	21/03/19	03/06/19
711204321	ATT CONSIGUELO BASICO 2	10/01/19	29/06/19
712884026	ATT CONSIGUELO BASICO 1	31/01/19	11/06/19
716328370	ATT CONSIGUELO 1.5	30/04/19	05/06/19
711093715	ATT CONSIGUELO BASICO 3	09/01/19	29/06/19
711097257	ATT CONSIGUELO BASICO 3	09/01/19	04/06/19
713112386	ATT CONSIGUELO BASICO 1	05/02/19	27/06/19
709054471	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTO E5	22/12/18	13/06/19
713120361	ATT CONSIGUELO BASICO 2	05/02/19	25/06/19
713201569	ATT CONSIGUELO BASICO 1	07/02/19	28/06/19
713238893	ATT CONSIGUELO BASICO 2	08/02/19	20/06/19
713522019	ATT CONSIGUELO BASICO 3	12/02/19	26/06/19
716142120	ATT CONSIGUELO 1.5	23/04/19	18/06/19
709241953	ATT CONSIGUELO BASICO 2	25/12/18	22/06/19
712890174	ATT CONSIGUELO BASICO 1.5	31/01/19	21/06/19
715424411	COMPARTELO ADICIONAL VOZ, SMS, DATOS BOGO HUAWEI Y7	23/03/19	08/06/19
715866694	ATT V2 YA 349	07/04/19	14/06/19
715987166	ATT CONSIGUELO 1.5	14/04/19	11/06/19
716323112	ATT CONSIGUELO 1.5	30/04/19	28/06/19
710647308	ATT CONSIGUELO BASICO 2	05/01/19	21/06/19
712881240	ATT CONSIGUELO BASICO 1	31/01/19	21/06/19
712894325	ATT CONSIGUELO BASICO 1	31/01/19	21/06/19
712971030	ATT CONSIGUELO BASICO 1.5	03/02/19	22/06/19
712971723	ATT CONSIGUELO BASICO 1.5	03/02/19	22/06/19
712988409	ATT CONSIGUELO BASICO 2	04/02/19	22/06/19
713120065	ATT CONSIGUELO BASICO 1	05/02/19	22/06/19
713119586	ATT CONSIGUELO BASICO 2	05/02/19	25/06/19
713120765	ATT CONSIGUELO BASICO 1	05/02/19	25/06/19
713210849	ATT CONSIGUELO BASICO 2	07/02/19	28/06/19
713201196	ATT CONSIGUELO BASICO 1.5	07/02/19	28/06/19
713201908	ATT CONSIGUELO COMPLETO 5	07/02/19	28/06/19
713431795	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO	10/02/19	29/06/19
713431962	ATT CONSIGUELO COMPLETO 5	10/02/19	29/06/19
713434706	ATT CONSIGUELO BASICO 2	10/02/19	29/06/19
713434904	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA MOTO G6 PLUS	10/02/19	29/06/19
713437311	ATT CONSIGUELO BASICO 2	10/02/19	29/06/19
711929482	ATT CONSIGUELO BASICO 1.5	17/01/19	10/06/19
712905397	ATT CONSIGUELO BASICO 1.5	01/02/19	21/06/19
712906367	ATT CONSIGUELO BASICO 2	01/02/19	22/06/19
712955082	ATT CONSIGUELO BASICO 2	02/02/19	22/06/19
712955670	ATT CONSIGUELO BASICO 1.5	02/02/19	22/06/19
713115281	ATT CONSIGUELO BASICO 1.5	05/02/19	25/06/19
713115482	ATT CONSIGUELO BASICO 1.5	05/02/19	25/06/19
713196213	ATT CONSIGUELO BASICO 1	07/02/19	28/06/19
713429281	ATT CONSIGUELO BASICO 2	10/02/19	29/06/19
715140772	ATT CONSIGUELO 1	18/03/19	15/06/19
716024909	ATT CONSIGUELO 1.5	16/04/19	19/06/19
712162513	ATT CONSIGUELO BASICO 1.5	20/01/19	04/06/19
4178279	ATT CONSIGUELO BASICO 2	22/01/19	01/06/19
712878442	ATT CONSIGUELO BASICO 2	31/01/19	21/06/19
712954266	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	02/02/19	22/06/19
712954435	ATT CONSIGUELO BASICO 3	02/02/19	22/06/19
713123239	ATT CONSIGUELO BASICO 1.5	05/02/19	07/06/19
713114881	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	05/02/19	25/06/19
713114928	ATT CONSIGUELO BASICO 2	05/02/19	25/06/19
